date,departure_rail_station_crs,destination_rail_station_crs,service_count_total,service_count_ontime
2022-05-01,LDS,BDQ,0,0
2022-05-02,LDS,BDQ,6,6
2022-05-03,LDS,BDQ,6,5
2022-05-04,LDS,BDQ,6,5
2022-05-05,LDS,BDQ,6,6
2022-05-06,LDS,BDQ,6,6
2022-05-07,LDS,BDQ,0,0
2022-05-08,LDS,BDQ,0,0
2022-05-09,LDS,BDQ,6,5
2022-05-10,LDS,BDQ,6,5
2022-05-11,LDS,BDQ,6,4
2022-05-12,LDS,BDQ,6,5
2022-05-13,LDS,BDQ,6,6
2022-05-14,LDS,BDQ,0,0
2022-05-15,LDS,BDQ,0,0
2022-05-16,LDS,BDQ,7,6
2022-05-17,LDS,BDQ,7,7
2022-05-18,LDS,BDQ,7,6
2022-05-19,LDS,BDQ,7,4
2022-05-20,LDS,BDQ,7,7
2022-05-21,LDS,BDQ,0,0
2022-05-22,LDS,BDQ,0,0
2022-05-23,LDS,BDQ,7,6
2022-05-24,LDS,BDQ,7,7
2022-05-25,LDS,BDQ,7,6
2022-05-26,LDS,BDQ,7,6
2022-05-27,LDS,BDQ,7,5
2022-05-28,LDS,BDQ,0,0
2022-05-29,LDS,BDQ,0,0
2022-05-30,LDS,BDQ,7,4
