date,weather_station,rainfall_nightbefore_mm
2022-03-02,bradford,0.0
2022-03-03,bradford,5.2
2022-03-04,bradford,3.4
2022-03-05,bradford,1.2
2022-03-06,bradford,0.0
2022-03-07,bradford,0.0
2022-03-08,bradford,0.0
2022-03-09,bradford,0.0
2022-03-10,bradford,0.0
2022-03-11,bradford,0.0
2022-03-15,bradford,0.0
2022-03-16,bradford,0.0
2022-03-17,bradford,9.6
2022-03-18,bradford,0.2
2022-03-19,bradford,0.0
2022-03-20,bradford,0.0
2022-03-21,bradford,0.0
2022-03-22,bradford,0.0
2022-03-23,bradford,0.0
2022-03-24,bradford,0.0
2022-03-25,bradford,0.0
2022-03-26,bradford,0.0
2022-03-27,bradford,0.0
2022-03-28,bradford,0.0
2022-03-29,bradford,0.4
2022-03-30,bradford,0.0
2022-03-31,bradford,3.4
2022-04-01,bradford,1.4
2022-04-02,bradford,0.0
2022-04-03,bradford,0.0
2022-04-05,bradford,0.0
2022-04-06,bradford,1.0
2022-04-07,bradford,3.8
2022-04-08,bradford,1.2
2022-04-09,bradford,1.0
2022-04-10,bradford,0.4
2022-04-11,bradford,0.0
2022-04-12,bradford,1.6
2022-04-13,bradford,4.8
2022-04-14,bradford,0.0
2022-04-15,bradford,0.0
2022-04-16,bradford,0.0
2022-04-17,bradford,0.0
2022-04-18,bradford,0.0
2022-04-19,bradford,0.2
2022-04-20,bradford,0.0
2022-04-21,bradford,0.0
2022-04-22,bradford,0.0
2022-04-23,bradford,0.0
2022-04-24,bradford,0.0
2022-04-25,bradford,0.0
2022-04-26,bradford,0.0
2022-04-27,bradford,0.0
2022-04-28,bradford,0.0
2022-04-29,bradford,0.0
2022-04-30,bradford,0.0
2022-05-01,bradford,2.2
2022-05-02,bradford,0.0
2022-05-03,bradford,1.4
2022-05-04,bradford,0.2
2022-05-05,bradford,0.0
2022-05-06,bradford,0.2
2022-05-07,bradford,2.4
2022-05-08,bradford,0.0
2022-05-09,bradford,0.0
2022-05-10,bradford,0.0
2022-05-11,bradford,0.6
2022-05-12,bradford,0.4
2022-05-13,bradford,0.2
2022-05-14,bradford,0.0
2022-05-15,bradford,0.0
2022-05-16,bradford,0.4
2022-05-17,bradford,6.2
2022-05-18,bradford,1.0
2022-05-19,bradford,1.0
2022-05-20,bradford,0.0
2022-05-21,bradford,16.6
2022-05-22,bradford,0.0
2022-05-23,bradford,1.0
2022-05-24,bradford,0.0
2022-05-25,bradford,1.2
2022-05-26,bradford,0.8
2022-05-27,bradford,0.4
2022-05-28,bradford,0.0
2022-05-29,bradford,0.0
2022-05-30,bradford,0.0
2022-05-31,bradford,0.6000000000000001
2022-06-01,bradford,5.2
2022-06-02,bradford,0.2
2022-06-03,bradford,0.0
2022-06-04,bradford,0.0
2022-06-05,bradford,0.0
2022-06-06,bradford,3.4000000000000004
2022-06-07,bradford,0.0
2022-06-08,bradford,0.0
2022-06-09,bradford,0.0
2022-06-10,bradford,0.0
2022-06-11,bradford,0.0
2022-06-12,bradford,1.2
2022-06-13,bradford,0.2
2022-06-14,bradford,0.0
2022-06-15,bradford,0.0
2022-06-16,bradford,0.0
2022-06-17,bradford,0.0
2022-06-18,bradford,0.0
2022-06-19,bradford,0.0
2022-06-20,bradford,0.0
2022-06-21,bradford,0.0
2022-06-22,bradford,0.0
2022-06-23,bradford,0.0
2022-06-24,bradford,2.0
2022-06-25,bradford,7.0
2022-06-26,bradford,3.6
2022-06-27,bradford,0.0
2022-06-28,bradford,1.6
2022-06-29,bradford,3.0
2022-06-30,bradford,0.2
2022-07-01,bradford,37.8
2022-07-02,bradford,1.8
2022-07-03,bradford,1.0
2022-07-04,bradford,0.0
2022-07-05,bradford,0.0
2022-07-06,bradford,0.0
2022-07-07,bradford,0.0
2022-07-08,bradford,0.0
2022-07-09,bradford,0.0
2022-07-10,bradford,0.0
2022-07-11,bradford,0.0
2022-07-12,bradford,0.0
2022-07-13,bradford,0.0
2022-07-14,bradford,0.0
2022-07-15,bradford,0.0
2022-07-16,bradford,0.0
2022-07-17,bradford,0.0
2022-07-18,bradford,0.0
2022-07-19,bradford,0.0
2022-07-20,bradford,0.0
2022-07-21,bradford,0.0
