date,weather_station,rainfall_nightbefore_mm
2022-01-02,bramham,0.0
2022-01-03,bramham,1.6
2022-01-04,bramham,1.0
2022-01-05,bramham,0.0
2022-01-06,bramham,0.0
2022-01-07,bramham,2.4
2022-01-08,bramham,0.6
2022-01-09,bramham,2.8
2022-01-10,bramham,0.8
2022-01-11,bramham,0.0
2022-01-12,bramham,0.0
2022-01-13,bramham,0.0
2022-01-14,bramham,0.0
2022-01-15,bramham,0.0
2022-01-16,bramham,0.2
2022-01-17,bramham,0.0
2022-01-18,bramham,0.0
2022-01-19,bramham,0.2
2022-01-20,bramham,0.0
2022-01-21,bramham,0.0
2022-01-22,bramham,0.0
2022-01-23,bramham,0.0
2022-01-24,bramham,0.0
2022-01-25,bramham,0.0
2022-01-26,bramham,0.0
2022-01-27,bramham,0.0
2022-01-28,bramham,0.0
2022-01-29,bramham,0.0
2022-01-30,bramham,0.0
2022-01-31,bramham,3.4000000000000004
2022-02-01,bramham,0.0
2022-02-02,bramham,0.0
2022-02-03,bramham,0.0
2022-02-04,bramham,0.0
2022-02-05,bramham,0.2
2022-02-06,bramham,7.2
2022-02-07,bramham,3.8
2022-02-08,bramham,0.0
2022-02-09,bramham,4.4
2022-02-10,bramham,0.0
2022-02-11,bramham,0.0
2022-02-12,bramham,0.0
2022-02-13,bramham,1.8
2022-02-14,bramham,8.0
2022-02-15,bramham,4.0
2022-02-16,bramham,0.0
2022-02-17,bramham,4.0
2022-02-18,bramham,1.4
2022-02-19,bramham,3.6
2022-02-20,bramham,8.6
2022-02-21,bramham,16.6
2022-02-22,bramham,0.0
2022-02-23,bramham,1.4
2022-02-24,bramham,2.8
2022-02-25,bramham,1.2
2022-02-26,bramham,0.0
2022-02-27,bramham,0.0
2022-02-28,bramham,0.0
2022-03-01,bramham,11.6
2022-03-02,bramham,0.0
2022-03-03,bramham,5.0
2022-03-04,bramham,2.6
2022-03-05,bramham,1.8
2022-03-06,bramham,0.2
2022-03-07,bramham,0.0
2022-03-08,bramham,0.2
2022-03-09,bramham,0.0
2022-03-10,bramham,0.0
2022-03-11,bramham,0.0
2022-03-12,bramham,3.5999999999999996
2022-03-13,bramham,0.0
2022-03-14,bramham,0.0
2022-03-15,bramham,0.0
2022-03-16,bramham,0.0
2022-03-17,bramham,14.0
2022-03-18,bramham,0.0
2022-03-19,bramham,0.0
2022-03-20,bramham,0.0
2022-03-21,bramham,0.0
2022-03-22,bramham,0.0
2022-03-23,bramham,0.0
2022-03-24,bramham,0.0
2022-03-25,bramham,0.0
2022-03-26,bramham,0.0
2022-03-27,bramham,0.0
2022-03-28,bramham,0.0
2022-03-29,bramham,1.2
2022-03-30,bramham,0.6
2022-03-31,bramham,3.1999999999999997
2022-04-01,bramham,2.4
2022-04-02,bramham,0.0
2022-04-03,bramham,1.0
2022-04-04,bramham,1.2
2022-04-05,bramham,0.0
2022-04-06,bramham,0.0
2022-04-07,bramham,0.4
2022-04-08,bramham,0.6
2022-04-09,bramham,0.2
2022-04-10,bramham,0.0
2022-04-11,bramham,0.0
2022-04-12,bramham,1.8
2022-04-13,bramham,2.8000000000000003
2022-04-14,bramham,0.0
2022-04-15,bramham,0.0
2022-04-16,bramham,0.0
2022-04-17,bramham,0.0
2022-04-18,bramham,0.0
2022-04-19,bramham,0.0
2022-04-20,bramham,0.0
2022-04-21,bramham,0.0
2022-04-22,bramham,0.0
2022-04-23,bramham,0.0
2022-04-24,bramham,0.0
2022-04-25,bramham,0.0
2022-04-26,bramham,0.0
2022-04-27,bramham,0.0
2022-04-28,bramham,0.0
2022-04-29,bramham,0.0
2022-04-30,bramham,0.0
2022-05-01,bramham,0.0
2022-05-02,bramham,0.0
2022-05-03,bramham,0.4
2022-05-04,bramham,0.0
2022-05-05,bramham,1.0
2022-05-06,bramham,0.0
2022-05-07,bramham,5.2
2022-05-08,bramham,0.0
2022-05-09,bramham,0.0
2022-05-10,bramham,0.0
2022-05-11,bramham,0.0
2022-05-12,bramham,0.2
2022-05-13,bramham,0.2
2022-05-14,bramham,0.0
2022-05-15,bramham,0.0
2022-05-16,bramham,1.6
2022-05-17,bramham,4.8
2022-05-18,bramham,4.2
2022-05-19,bramham,1.6
2022-05-20,bramham,0.0
2022-05-21,bramham,10.0
2022-05-22,bramham,0.2
2022-05-23,bramham,0.0
2022-05-24,bramham,0.0
2022-05-25,bramham,0.2
2022-05-26,bramham,0.0
2022-05-27,bramham,1.2
2022-05-28,bramham,0.0
2022-05-29,bramham,0.0
2022-05-30,bramham,0.4
2022-05-31,bramham,1.8
2022-06-01,bramham,11.2
2022-06-02,bramham,1.2
2022-06-03,bramham,0.0
2022-06-04,bramham,0.0
2022-06-05,bramham,0.0
2022-06-06,bramham,3.0
2022-06-07,bramham,0.0
2022-06-08,bramham,0.0
2022-06-09,bramham,0.0
2022-06-10,bramham,0.0
2022-06-11,bramham,0.0
2022-06-12,bramham,0.0
2022-06-13,bramham,2.8
2022-06-14,bramham,0.0
2022-06-15,bramham,0.0
2022-06-16,bramham,0.0
2022-06-17,bramham,0.0
2022-06-18,bramham,0.0
2022-06-19,bramham,0.0
2022-06-20,bramham,0.0
2022-06-21,bramham,0.0
2022-06-22,bramham,0.0
2022-06-23,bramham,0.0
2022-06-24,bramham,0.0
2022-06-25,bramham,0.0
2022-06-26,bramham,2.0
2022-06-27,bramham,0.0
2022-06-28,bramham,1.0
2022-06-29,bramham,0.0
2022-06-30,bramham,0.2
2022-07-01,bramham,6.4
2022-07-02,bramham,1.8
2022-07-03,bramham,0.0
2022-07-04,bramham,0.0
2022-07-05,bramham,0.0
2022-07-06,bramham,0.0
2022-07-07,bramham,0.0
2022-07-08,bramham,0.0
2022-07-09,bramham,0.0
2022-07-10,bramham,0.0
2022-07-11,bramham,0.0
2022-07-12,bramham,0.0
2022-07-13,bramham,0.0
2022-07-14,bramham,0.0
2022-07-15,bramham,0.0
2022-07-16,bramham,0.0
2022-07-17,bramham,0.0
2022-07-18,bramham,0.0
2022-07-19,bramham,0.0
2022-07-20,bramham,0.0
2022-07-21,bramham,0.0
2022-07-22,bramham,0.0
2022-07-23,bramham,0.2
2022-07-24,bramham,0.4
2022-07-25,bramham,8.6
2022-07-26,bramham,1.5999999999999999
2022-07-27,bramham,38.0
2022-07-28,bramham,0.0
2022-07-29,bramham,0.2
2022-07-30,bramham,0.0
2022-07-31,bramham,1.4
2022-08-01,bramham,0.2
2022-08-02,bramham,0.2
2022-08-03,bramham,0.0
2022-08-04,bramham,0.0
2022-08-05,bramham,0.0
2022-08-06,bramham,0.0
2022-08-07,bramham,0.0
2022-08-08,bramham,0.0
2022-08-09,bramham,0.0
2022-08-10,bramham,0.0
2022-08-11,bramham,0.0
2022-08-12,bramham,0.0
2022-08-13,bramham,0.0
2022-08-14,bramham,0.0
2022-08-15,bramham,0.0
2022-08-17,bramham,0.0
2022-08-18,bramham,0.0
2022-08-19,bramham,0.0
2022-08-20,bramham,0.0
2022-08-21,bramham,0.0
2022-08-22,bramham,0.0
2022-08-23,bramham,1.4
2022-08-24,bramham,0.0
2022-08-25,bramham,1.4
2022-08-26,bramham,0.8
2022-08-27,bramham,0.0
2022-08-28,bramham,0.0
2022-08-29,bramham,0.0
2022-08-30,bramham,0.0
2022-08-31,bramham,0.0
2022-09-01,bramham,0.0
2022-09-02,bramham,0.0
2022-09-03,bramham,0.0
2022-09-04,bramham,0.0
2022-09-05,bramham,0.0
2022-09-06,bramham,0.4
2022-09-07,bramham,0.4
2022-09-08,bramham,1.2
2022-09-09,bramham,3.6
2022-09-10,bramham,2.2
2022-09-11,bramham,0.0
2022-09-12,bramham,4.4
2022-09-13,bramham,0.0
2022-09-14,bramham,0.0
2022-09-15,bramham,0.0
2022-09-16,bramham,0.0
2022-09-17,bramham,0.0
2022-09-18,bramham,0.0
2022-09-19,bramham,0.0
2022-09-20,bramham,0.0
2022-09-21,bramham,0.0
2022-09-22,bramham,0.0
2022-09-23,bramham,1.0
2022-09-24,bramham,4.0
2022-09-25,bramham,0.0
2022-09-26,bramham,1.5999999999999999
2022-09-27,bramham,0.0
2022-09-28,bramham,0.8
2022-09-29,bramham,2.6
2022-09-30,bramham,1.0
2022-10-01,bramham,12.6
2022-10-02,bramham,0.4
2022-10-03,bramham,0.0
2022-10-04,bramham,0.0
2022-10-05,bramham,0.8
2022-10-06,bramham,2.0
2022-10-07,bramham,0.2
2022-10-08,bramham,10.6
2022-10-09,bramham,0.0
2022-10-10,bramham,1.8
2022-10-11,bramham,0.0
2022-10-12,bramham,0.0
